%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field_range
694900000000,6947,694900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6088175773620605
695000000000,6948,695000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.6814125776290894
695100000000,6949,695100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.7784199714660645
695200000000,6950,695200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.8646484613418579
695299000000,6951,695300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9653146862983704
695400000000,6952,695400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0300965309143066
695500000000,6953,695500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0790268182754517
695600000000,6954,695600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.1076619625091553
695700000000,6955,695700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.1119086742401123
695800000000,6956,695800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.139091968536377
695900000000,6957,695900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.1544952392578125
696000000000,6958,696000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.1551042795181274
696099000000,6959,696100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.1351667642593384
696199000000,6960,696200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.093849539756775
696300000000,6961,696300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0538495779037476
696401000000,6962,696400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.026007056236267
696500000000,6963,696500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0056078433990479
696600000000,6964,696600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9970331192016602
696700000000,6965,696700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9958487153053284
696800000000,6966,696800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0015826225280762
696900000000,6967,696900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0275174379348755
697000000000,6968,697000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0538749694824219
697100000000,6969,697100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0696078538894653
697200000000,6970,697200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0773659944534302
697300000000,6971,697300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.09822678565979
697400000000,6972,697400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.1113028526306152
697501000000,6973,697500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0895837545394897
697600000000,6974,697600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0698100328445435
697700000000,6975,697700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0373027324676514
697802000000,6976,697800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0202683210372925
697900000000,6977,697900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9926130175590515
697997000000,6978,698000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9813210368156433
698100000000,6979,698100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.977579653263092
698200000000,6980,698200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9773046970367432
698300000000,6981,698300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9873286485671997
698401000000,6982,698400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9823682904243469
698500000000,6983,698500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0077933073043823
698600000000,6984,698600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.003415822982788
698700000000,6985,698700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0101771354675293
698800000000,6986,698800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0022673606872559
698900000000,6987,698900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0083879232406616
699001000000,6988,699000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0128487348556519
699100000000,6989,699100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.011880874633789
699200000000,6990,699200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.022773265838623
699300000000,6991,699300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0137839317321777
